"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09","WT10","WT11"
"USR0000CGOO","33.0736","-116.8458","466.3","2022-03-16",,,,,,"59","71","53",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-03-17",,,,,,"67","78","56",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-03-18",,,,,,"65","76","57",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-03-19",,,,,,"58","69","49",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-03-20",,,,,,"53","62","47",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-03-21",,,,,,"58","71","45",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-03-22",,,,,,"70","84","56",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-03-23",,,,,,"72","83","62",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-03-24",,,,,,"72","85","63",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-03-25",,,,,,"71","85","63",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-03-26",,,,,,"67","78","50",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-03-27",,,,,,"55","70","47",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-03-28",,,,,,"52","61","47",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-03-29",,,,,,"51","59","46",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-03-30",,,,,,"55","67","47",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-03-31",,,,,,"52","56","50",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-04-01",,,,,,"56","66","50",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-04-02",,,,,,"54","61","52",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-04-03",,,,,,"53","56","51",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-04-04",,,,,,"59","74","51",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-04-05",,,,,,"65","76","54",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-04-06",,,,,,"77","91","62",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-04-07",,,,,,"80","90","70",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-04-08",,,,,,"81","96","70",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-04-09",,,,,,"71","84","54",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-04-10",,,,,,"58","67","53",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-04-11",,,,,,"56","66","48",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-04-12",,,,,,"52","65","45",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-04-13",,,,,,"54","67","40",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-04-14",,,,,,"56","71","48",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-04-15",,,,,,"57","73","43",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-04-16",,,,,,"55","67","46",,,,,,,,,,,
